,home,away,home_total,home_ml,away_total,away_ml
518,Washington,Portland,103,270,122,-340
519,Houston,Philadelphia,118,-190,108,160
520,Phoenix,NewYork,120,-300,112,240
521,LALakers,NewOrleans,123,-600,113,425
522,LAClippers,Memphis,114,-650,140,450
523,Brooklyn,Toronto,102,-130,121,110
524,Orlando,Utah,96,145,109,-170
525,Cleveland,OklahomaCity,106,240,121,-300
526,Atlanta,Indiana,116,255,111,-320
527,Chicago,Boston,104,-115,111,-105
528,Washington,Denver,128,650,114,-1000
529,Dallas,Charlotte,120,-800,123,550
530,Milwaukee,SanAntonio,127,-900,118,600
531,GoldenState,Detroit,104,130,111,-150
532,Sacramento,NewOrleans,115,-140,117,120
533,LAClippers,NewYork,135,-550,132,400
534,Miami,Portland,122,-230,111,185
535,Cleveland,Minnesota,103,210,118,-260
536,Phoenix,Memphis,114,-300,121,240
537,LALakers,Detroit,106,-2000,99,1000
538,Orlando,Brooklyn,101,-220,89,180
539,Charlotte,Indiana,104,215,115,-265
540,Washington,Boston,99,340,94,-440
541,Philadelphia,OklahomaCity,120,-340,113,270
542,Atlanta,Denver,115,260,123,-330
543,NewOrleans,Utah,126,150,128,-180
544,SanAntonio,Milwaukee,126,300,104,-400
545,Dallas,Chicago,118,-400,110,300
546,Sacramento,GoldenState,111,-600,98,425
547,Cleveland,Detroit,113,145,115,-170
548,Toronto,Portland,99,-140,101,120
549,Brooklyn,OklahomaCity,103,-120,111,100
550,Memphis,Minnesota,119,-190,112,160
551,Phoenix,Sacramento,103,-280,114,230
552,LALakers,NewYork,117,-1600,87,900
553,Charlotte,Toronto,110,120,112,-140
554,Indiana,Miami,108,-125,122,105
555,Orlando,Washington,123,-500,89,375
556,Boston,SanAntonio,114,-310,129,250
557,Dallas,Denver,106,-185,107,155
558,Atlanta,Houston,115,280,122,-360
559,NewOrleans,Chicago,123,-160,108,140
560,Utah,NewYork,128,-1500,104,850
561,GoldenState,Milwaukee,98,850,107,-1500
562,Detroit,Cleveland,112,-290,115,235
563,Philadelphia,Boston,109,-110,98,-110
564,Minnesota,Portland,116,-110,102,-110
565,OklahomaCity,Houston,113,145,92,-170
566,Washington,Atlanta,111,-105,101,-115
567,Brooklyn,Miami,117,155,113,-185
568,Memphis,SanAntonio,134,-110,121,-110
569,NewYork,NewOrleans,111,150,123,-180
570,Chicago,Indiana,105,-115,116,-105
571,Dallas,LALakers,114,-135,129,115
572,Utah,Charlotte,109,-900,92,600
573,Phoenix,Orlando,98,-170,94,145
574,Sacramento,Milwaukee,106,375,127,-500
575,LAClippers,GoldenState,109,-1500,100,850
576,Houston,Minnesota,139,-550,109,400
577,Boston,NewOrleans,140,-800,105,550
578,Detroit,Chicago,99,-170,108,145
579,OklahomaCity,LALakers,110,-400,125,300
580,Dallas,Philadelphia,109,-150,91,130
581,Denver,Cleveland,103,-1000,111,650
582,Portland,Milwaukee,101,275,122,-350
583,NewYork,Miami,124,274,121,-340
584,Washington,Utah,116,303,127,-380
585,Brooklyn,Atlanta,108,-230,86,192
586,Memphis,GoldenState,122,-260,102,215
587,Toronto,SanAntonio,104,-160,105,140
588,Denver,LAClippers,114,-115,104,-105
589,Phoenix,Charlotte,100,-350,92,281
590,Indiana,Philadelphia,101,-130,95,110
591,Detroit,NewOrleans,110,-108,117,-112
592,Boston,Chicago,113,-500,101,384
593,Minnesota,OklahomaCity,104,120,117,-140
594,Portland,Charlotte,115,-525,112,400
595,Sacramento,Orlando,112,-137,114,117
596,LALakers,Cleveland,128,-1500,99,876
597,Atlanta,Phoenix,123,170,110,-200
598,Brooklyn,Utah,107,115,118,-135
599,Memphis,Houston,121,155,110,-180
600,Milwaukee,NewYork,128,-2400,102,1150
601,LAClippers,Cleveland,128,-1600,103,912
602,GoldenState,Dallas,97,274,124,-340
603,Philadelphia,Brooklyn,117,-325,106,263
604,Boston,Detroit,103,-500,116,384
605,Miami,SanAntonio,106,-230,100,192
606,Minnesota,Indiana,99,112,104,-132
607,OklahomaCity,Toronto,121,-130,130,110
608,Chicago,Washington,115,-175,106,151
609,Denver,Charlotte,100,-1100,86,711
610,Houston,Portland,107,-380,117,303
611,Sacramento,Dallas,123,144,127,-165
612,LALakers,Orlando,118,-620,119,459
613,NewYork,Phoenix,98,115,121,-135
614,Milwaukee,Boston,128,-700,123,500
615,NewOrleans,Utah,138,185,132,-230
616,LAClippers,Orlando,122,-600,95,425
617,GoldenState,Denver,131,145,134,-170
618,Philadelphia,Chicago,100,-370,89,285
619,Toronto,Washington,140,-600,111,425
620,Indiana,Minnesota,116,-280,114,230
621,OklahomaCity,Miami,108,-105,115,-115
622,Memphis,Cleveland,113,-440,109,340
623,SanAntonio,Atlanta,120,-450,121,350
624,Dallas,Portland,120,-360,112,280
625,NewOrleans,LAClippers,130,190,133,-240
626,Brooklyn,Milwaukee,97,450,117,-650
